19900116,63384,26.94,101.26,10,3.9,0
19900125,24310,23.57,102.64,16,3.4,0
19900126,81980,23.37,100.23,33,4.9,1
19900126,84460,23.36,100.18,33,4.7,1
19900207,19716,26.05,103.34,14,3.5,0
19900207,25144,26.89,103,14,3.3,0
19900313,35165,24.77,99.17,13,4.3,1
19900329,38499,26.19,100.56,8,3.2,0
19900405,45591,26.11,100.86,5,3.3,0
19900407,29033,26.85,100.16,8,3.2,0
19900421,59779,25.34,100.56,15,3.2,0
19900422,50305,26.1,99.92,12,3.9,0
19900430,3922,25.55,102.2,9,3.7,0
19900521,26747,26.98,101.11,5,3,0
19900522,80081,26.96,103.33,16,3,0
19900526,69176,23.6,100.34,31,3.4,0
19900527,21796,24.01,100.32,25,3.4,0
19900601,15785,25.8,102.81,12,3.3,0
19900601,71798,25.77,102.96,9,3.5,0
19900617,58881,24.77,99.3,5,3.6,0
19900624,5605,25.94,100.18,18,4.1,1
19900711,26073,27.02,100.04,10,3.6,0
19900716,49945,23.87,100.44,21,3.3,0
19900723,50601,27.62,100.9,5,3.4,0
19900724,55092,27.59,100.81,16,3.6,0
19900730,84093,27.41,100.72,10,3.2,0
19900807,38231,26.09,100.36,9,3.7,0
19900817,81401,24.95,99.12,32,3.9,0
19900821,62941,27.01,103.32,9,3,0
19900831,51276,26.97,103.07,11,4,0
19900917,25324,25.43,100.07,5,3.3,0
19901009,23881,26.97,103.2,3,3.1,0
19901017,5716,26.47,103.03,9,3.1,0
19901031,50584,26.56,103.14,15,3.3,0
19901105,32465,22.52,102.23,26,3.6,0
19901114,46152,26.9,101.32,11,3.7,0
19901119,21820,25.18,102.18,15,3.4,0
19901120,38801,25.12,102.1,33,4.1,1
19901120,51628,25.15,102.16,4,3.2,0
19901121,54910,25.09,102.15,6,3.3,0
19901209,34949,23.4,100.53,9,4,0
19901210,12793,25.21,102.08,17,3,0
19901214,19942,23.87,100.86,8,4,0
19901223,77147,25.07,101.59,23,4,0
19901229,16839,23.95,102.95,32,4.7,1
19910102,51081,27.21,100.6,5,3.5,0
19910123,84016,23.02,103.91,2,3.1,0
19910126,16045,25.62,102.24,12,3.1,0
19910128,74454,26.01,100.86,12,3.2,0
19910206,8293,23.08,105.96,21,3.7,0
19910217,14335,23.74,102.67,12,3.2,0
19910222,61069,27.02,100.91,10,3.4,0
19910227,2031,26.97,100.68,7,3,0
19910305,33481,23.18,102.45,5,5,1
19910308,75986,23.11,101.07,31,3.8,0
19910417,54992,23.66,102.72,17,4,0
19910509,49033,23.54,100.59,33,3.6,0
19910526,62881,27.77,99.95,12,3.6,0
19910526,64799,27.59,100.02,16,3.4,0
19910627,39377,24.21,101.3,13,3.5,0
19910629,9085,23.98,101.3,10,3.2,0
19910701,22685,24.9,99.07,17,4.7,1
19910701,23211,24.87,99.07,13,3.5,0
19910703,85500,26.16,99.68,8,4.1,1
19910704,38985,26,99.82,12,3.6,0
19910704,40987,26.02,99.74,4,3.3,0
19910709,29639,25.96,99.78,12,3.5,0
19910722,43133,24.92,99.13,15,4.8,1
19910805,76219,24.57,102.93,13,3.4,0
19910809,35485,24.05,102.73,12,3.4,0
19910812,34433,26.98,103.1,6,3,0
19910820,84215,27.22,100.16,13,3.1,0
19910829,81245,23.33,100.21,27,3.2,0
19910901,75892,23.58,100.26,16,3.4,0
19910905,39596,23.59,100.62,10,3.5,0
19910908,29331,23.73,102.67,19,3.6,0
19910919,66353,24.85,99.02,18,3.4,0
19910926,60916,24.48,103.23,11,3.4,0
19910926,86152,23.9,102.38,16,3.9,0
19911002,66248,27.57,100.81,16,3,0
19911011,8789,22,104.96,7,4.1,1
19911023,65489,27.65,103.57,11,3.7,0
19911024,64860,26.63,103.08,13,3.3,0
19911029,8010,27.29,100.95,4,3.3,0
19911106,4184,24.43,99.15,6,3,0
19911107,81629,25.06,99.23,12,3.2,0
19911202,38933,25.06,101.44,17,3.1,0
19911226,8596,26.04,99.98,7,3.8,0
19911231,19301,26.36,100.19,13,3.5,0
19920101,78390,26.39,100.07,30,3.6,0
19920108,83452,23.39,101.52,15,3.6,0
19920116,56713,26.58,103.05,11,3.2,0
19920130,1738,24.04,101.15,5,3.1,0
19920208,81549,25.49,99.58,9,3.2,0
19920209,16889,26.7,103.2,13,4.2,1
19920211,4794,27.63,100.64,9,3.2,0
